horizon_hours,SID,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
6,2021169N23268,2021,8,1,32.271239926311516,33.8629018288233,48.86999930133918,50.53872850459839,2.4331332978694618,3.4578659453968292,-0.9919274456391887,32.271239926311516,2.4331332978694618,32.271239926311516,32.271239926311516,2.4331332978694618,2.4331332978694618
6,2022257N16312,2022,34,1,32.258438375424596,24.95763310377645,56.341333265766025,65.96486876303311,4.215527470116407,5.167286858746019,-1.2864559506662028,32.258438375424596,4.215527470116407,32.258438375424596,32.258438375424596,4.215527470116407,4.215527470116407
6,2023241N28308,2023,11,1,32.20508082485535,28.034304711041763,46.00451703347105,73.12561789235608,1.8967876590023023,2.729105089104482,-0.008424763582483634,32.20508082485535,1.8967876590023023,32.20508082485535,32.20508082485535,1.8967876590023023,1.8967876590023023
6,2025268N19306,2025,23,1,31.478495335076182,29.158027277313302,57.38458800305464,61.0123493710402,4.537469767014028,5.875896106463201,-0.5562648068574659,31.478495335076182,4.537469767014028,31.478495335076182,31.478495335076182,4.537469767014028,4.537469767014028
6,2020279N16284,2020,19,1,31.351825070907143,32.036042117753,43.72483357793708,44.5810095990721,6.428472918289413,9.041468523612595,0.24387220401139137,31.351825070907143,6.428472918289413,31.351825070907143,31.351825070907143,6.428472918289413,6.428472918289413
6,2021225N15313,2021,29,1,31.21447386251397,25.401571763181714,55.25207494014069,67.04979898407726,4.8783138529892724,6.334655537086881,-0.6809330704649519,31.21447386251397,4.8783138529892724,31.21447386251397,31.21447386251397,4.8783138529892724,4.8783138529892724
6,2020154N19269,2020,28,1,30.59039230083826,28.547380666867937,62.12749130428538,64.65470756092672,2.8749663810136568,3.706067221329083,-0.38256375988636154,30.59039230083826,2.8749663810136568,30.59039230083826,30.59039230083826,2.8749663810136568,2.8749663810136568
6,2022266N12294,2022,26,1,30.135052649338515,29.932009431957326,55.41252190473845,60.02831040482148,6.278135373238725,8.772501147769432,-0.09374536536181075,30.135052649338515,6.278135373238725,30.135052649338515,30.135052649338515,6.278135373238725,6.278135373238725
6,2020276N17277,2020,13,1,29.476214910520863,25.108355689595953,48.44778023988363,51.9705536162699,4.983426244263793,6.635439372965794,1.8091137746311883,29.476214910520863,4.983426244263793,29.476214910520863,29.476214910520863,4.983426244263793,4.983426244263793
6,2021227N36297,2021,27,1,29.403297238282903,18.701408888489656,69.20926825556124,91.71003861138229,3.1847432704490446,3.929132383868916,0.7077240695698583,29.403297238282903,3.1847432704490446,29.403297238282903,29.403297238282903,3.1847432704490446,3.1847432704490446
6,2024225N14313,2024,27,1,29.119244730691072,26.006068145143978,43.669695560060894,63.05497425147367,2.922143543325325,3.706062464522982,-0.1921433520876479,29.119244730691072,2.922143543325325,29.119244730691072,29.119244730691072,2.922143543325325,2.922143543325325
6,2020244N30279,2020,17,1,28.87943081112013,29.036280282399876,45.1773394599289,51.97504554726266,1.798429362074781,2.3267689523848962,1.1575903551117193,28.87943081112013,1.798429362074781,28.87943081112013,28.87943081112013,1.798429362074781,1.798429362074781
6,2020188N28271,2020,1,1,28.80819263441303,28.80819263441303,28.80819263441303,28.80819263441303,10.60068644021095,10.60068644021095,10.60068644021095,28.80819263441303,10.60068644021095,28.80819263441303,28.80819263441303,10.60068644021095,10.60068644021095
6,2024271N17319,2024,10,1,28.71629805745686,16.012871439946316,64.86815686450277,65.12487575406087,1.9947626443481496,2.4544938593305607,0.36516178749313327,28.71629805745686,1.9947626443481496,28.71629805745686,28.71629805745686,1.9947626443481496,1.9947626443481496
6,2020234N14280,2020,11,1,28.698318116383874,21.322068185082678,48.04032301817808,57.634692987349055,4.391477652512632,5.954024181712142,1.733987361605738,28.698318116383874,4.391477652512632,28.698318116383874,28.698318116383874,4.391477652512632,4.391477652512632
6,2024319N16282,2024,11,1,28.61817990167066,20.70625790572771,51.11954162218364,71.2978976883374,2.903001798982207,3.5070803282106424,1.2468565184334117,28.61817990167066,2.903001798982207,28.61817990167066,28.61817990167066,2.903001798982207,2.903001798982207
6,2023232N13300,2023,45,1,28.500572117321138,24.022192927668886,50.32152189411025,67.82307284405529,3.8561678902974568,4.975541818570777,-0.304435174250654,28.500572117321138,3.8561678902974568,28.500572117321138,28.500572117321138,3.8561678902974568,3.8561678902974568
6,2024216N20284,2024,19,1,28.097740084802737,27.15327137584757,48.71177617425219,50.709377009436686,3.9177266632638155,4.377668051243116,-0.25470628481119656,28.097740084802737,3.9177266632638155,28.097740084802737,28.097740084802737,3.9177266632638155,3.9177266632638155
