model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
persistence,48,TD (<34),59,19,908.8261835466967,865.1077985227738,1292.546800598848,1372.3712610484815,10.932203389830509,14.570111035720364,-10.59322033898305,889.0990588541499,11.091478696741854,746.1418590040573,1030.8942852872565,7.148339598997494,15.674890350877192
persistence,48,TS (34-63),586,76,807.7526477605011,809.4104816809988,1316.525375919593,1425.373242887357,17.704778156996586,25.19463483707154,-9.479522184300341,846.184110721147,22.21839163022127,780.0382418397617,914.6376897458721,17.925084343797554,26.705586840184882
ridge,6,Cat 1 (64-82),334,51,27.914681642557913,22.60233203480579,58.09472577848428,69.56445897092999,4.626456261498597,6.279514592862078,-0.87708304119131,29.067014944772538,5.961000703659644,25.894822357700427,32.180868124966715,5.102672499039615,6.986686856246315
ridge,6,Cat 2 (83-95),134,34,30.553935944625977,22.788400111566567,53.59093451981605,80.13389828012033,5.970388501246125,8.240297223955181,-1.3756725698912085,29.406552366866418,9.096047863046728,24.597551979353057,34.77677363847248,6.941851164233409,11.516199848340346
ridge,6,Cat 3 (96-112),97,23,20.341397205476355,17.797051049783022,37.21191131787993,48.28242760867917,6.75615738307263,10.042400424249147,0.26606262287761695,25.793648095391706,10.710092437835815,20.398161519263557,31.84807827281418,7.4556556174994055,14.2887982598911
ridge,6,Major (>=113),128,19,23.92538807726433,19.332607788548305,41.664527832421705,57.2436506579116,6.805287649197662,10.18844223052575,1.7852583343072292,24.492189174089113,10.51802710779515,20.07462941816458,30.12096311338938,6.56724462305892,15.797746111876075
ridge,6,TD (<34),156,37,26.871019757502946,21.780216712877547,52.264007327908686,66.08540876785706,2.1473812124333853,2.8608409166388555,-0.30599559039149454,29.803831583983598,2.514753593127996,23.747073394932343,36.56893194881523,2.0788392049125646,3.0473646152159106
ridge,6,TS (34-63),923,102,26.150336966089167,21.87468653754231,51.2147585287631,61.192943574304216,3.1605397227071976,4.154732492980841,-0.012934092924015775,26.793733552920738,3.6372683364718608,24.586199424201958,29.37062939662334,3.2833652830128153,4.03181982444517
ridge,12,Cat 1 (64-82),315,51,66.76826929127033,51.97828950125475,132.10361231322676,178.56965148351685,9.223187286730337,13.027209908643696,-2.7405078875636772,69.9817515209806,12.671840554109904,60.35883175122045,80.58844612432448,10.668597304788976,14.84067217582014
ridge,12,Cat 2 (83-95),132,34,74.28887663151025,58.11995353747579,155.23903718619962,190.27124024035808,10.293067695051239,15.296321553724196,-2.3991406944265554,75.81073844721159,15.244971505236927,62.67652030908577,90.60050811910929,11.070003205414388,19.90804774250417
