model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,48,2023,252,15,483.6275690733079,427.4183059977538,887.4963840750802,999.5485990531644,15.357142857142858,20.5093861593886,-3.492063492063492,504.3387481687748,14.372489471703956,410.2325315859265,592.5788026808942,10.546275013759976,18.316827953291956
constant-motion,48,2024,163,14,405.26776676452374,332.97779501488867,785.851341675178,872.4346749876514,25.766871165644172,31.705121414786923,2.331288343558282,470.3117248153458,24.148854535764706,387.0351523883881,572.4403285847326,17.914016317733992,30.666077100077775
constant-motion,48,2025,117,8,483.0073010303534,393.9828026555001,979.4396161398296,1081.3641931961436,33.675213675213676,41.78700570935714,-10.683760683760685,479.6735838275431,25.506362889983578,364.3497008319414,595.8046144664576,14.756632286535304,36.639075328407216
gru,6,2020,466,29,29.525963577553767,24.98826582306178,56.41152267448706,71.99323164988846,4.029953520859746,5.702943354225649,0.1683969649900961,29.08744539979279,4.454134030492158,25.364653385833492,33.19397802238709,3.6960465075695033,5.27651312326622
gru,6,2021,299,19,26.94452541397379,21.311210867478533,52.818569645069374,69.08165965800131,3.5792048879044085,4.7946719058247425,0.0953571184438916,33.396063877024126,4.174016508676888,26.09956106621302,42.66841610160401,3.377786370800588,5.055001051769229
gru,6,2022,183,14,31.04553391746357,25.639322792576124,56.96255010476109,68.49417261428081,4.060020125618072,5.53993912521947,-0.0819431488498427,34.14546380663961,3.66949524873392,28.834767830249778,39.31045923887297,2.557421413835108,4.667447000856845
gru,6,2023,369,17,24.99139342072051,20.937362458700235,49.13300087304169,58.701786035480694,3.052597092632214,4.306675155379972,0.2398127238396059,27.07885772443513,2.9656201322958817,23.33702941909536,31.55430568371968,2.5692338276479103,3.404181627347293
gru,6,2024,267,15,27.942124829909996,23.840392981276292,51.94100017987198,65.3357690777396,4.505394048657339,6.753833322542264,-0.1062626178374055,30.43274298215247,4.893478538556791,26.750274528649378,34.85720885508453,3.454356066643357,6.545228592049559
gru,6,2025,188,13,26.51559454611879,23.17825624325057,47.57938572897696,55.44386656443245,3.9025910601437457,5.74492308656136,-0.0817982521327438,27.054306173731295,3.787187057818916,22.202911877368365,32.4767539339387,2.89923931775894,4.7404986668213915
gru,12,2020,435,27,69.30793673627684,55.99240329338373,130.53840923342148,177.7385021782167,7.172597062063777,10.256582072528769,-0.2281506401573201,71.50639704165698,7.328234370325714,62.04442050919487,82.40888386770754,5.785436818168323,9.08633475983227
gru,12,2021,279,16,59.77679311870519,52.75349667748157,112.8682727165223,142.65583403063573,6.447517121349923,8.73116579108725,-0.1547933637329655,57.98647391114761,6.715071353919047,50.9267518398013,65.94242618142063,5.50676358734893,8.044875616540352
gru,12,2022,169,11,68.88740485804578,52.41530505244515,141.41616083518105,158.2220431225955,7.269075490646085,10.666910427929148,-0.7983793100489406,77.20035208599762,6.63057210394764,61.548092936691745,93.4776675894904,4.478371631706322,8.839757633135225
