model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,north_bias_km,east_bias_km,north_mae_km,east_mae_km,wind_bias_kt,wind_mae_kt
ridge,6,TD (<34),156,37,26.871019757502946,0.5113011503529006,-2.9897069009958406,17.414239545269965,16.69877650907678,-0.30599559039149454,2.1473812124333853
ridge,6,TS (34-63),923,102,26.150336966089167,0.7338743764582132,1.063279960199118,16.519201403328125,16.800549180305545,-0.012934092924015778,3.1605397227071976
ridge,12,Cat 1 (64-82),315,51,66.76826929127031,-8.850614429963143,-3.865043723830343,42.65058397495635,43.401438981098124,-2.7405078875636772,9.223187286730337
ridge,12,Cat 2 (83-95),132,34,74.28887663151025,-4.400996664860858,-5.038013389784591,44.126069434030065,49.95536654545017,-2.3991406944265554,10.293067695051239
ridge,12,Cat 3 (96-112),96,23,46.111298750203495,-0.6816600575333492,1.8237620838438218,32.134558142129464,26.40028072472428,0.45396839929995164,11.435632151163455
ridge,12,Major (>=113),127,19,51.4601012842179,-3.7200701692357385,-18.17225532639115,32.486678227160816,33.01744459194386,5.00408863851829,12.730399372363584
ridge,12,TD (<34),127,30,62.214400279454956,5.105284998491531,-5.576557178577231,41.39575721151974,38.295520690440334,-0.20525806209516564,3.4310619279302177
ridge,12,TS (34-63),864,94,62.42323887101448,1.6561102489456185,3.7479717244523503,39.15262267408222,40.84836264225539,-0.2442657430651803,5.665573112056896
ridge,24,Cat 1 (64-82),281,48,168.53039272923834,-27.692309979817164,-9.547377173925877,103.70053913663986,116.51212502583465,-6.625028291731498,17.341583881960634
ridge,24,Cat 2 (83-95),111,31,170.76295103750437,-15.887341123795913,-16.79765922450802,97.57211601475099,121.6464022523718,-3.6805096881916897,14.094373184019243
ridge,24,Cat 3 (96-112),92,20,109.2612995526754,5.990407182570862,-3.885987432025833,72.66597025023073,69.29959407748413,-2.2774889927937174,14.602027439411833
ridge,24,Major (>=113),123,18,125.26893192555882,-14.188785318194666,-48.652605176697186,75.99152331060867,86.45701484132573,10.363293372653843,21.72345742633805
ridge,24,TD (<34),93,24,149.43311982409716,11.41153489865144,-0.25592783616949355,103.83132856060207,89.08306525615033,0.5756782212019753,5.786035639328214
ridge,24,TS (34-63),765,85,155.8088628648639,2.9540170033815616,14.170344695394054,96.62071549110149,104.06441750923103,-0.5162175668569797,10.186435455059696
ridge,48,Cat 1 (64-82),208,41,341.35712498351415,-47.12917231669103,-39.32847871809516,204.72042765807012,241.57003069043728,-9.509183235705565,20.612450121988157
ridge,48,Cat 2 (83-95),77,25,411.63861066718516,-101.30638295809824,-38.95932272647079,250.46041154550994,292.25991985984274,-2.742994082696323,20.44770402132959
ridge,48,Cat 3 (96-112),79,17,262.02079303820784,-18.901363777848754,-3.0231751253649195,170.85036800103438,170.2464723715444,-4.102065183354722,15.841504590539927
ridge,48,Major (>=113),106,18,359.6541943453522,-72.94228043645215,-143.1274728880298,202.7847128354217,267.8768958378045,10.696845116261064,23.03258715702503
ridge,48,TD (<34),59,19,329.4129620860607,64.28757647513851,72.76709215565857,235.93545310283048,176.973848299262,3.4984990010141863,10.015349570921178
ridge,48,TS (34-63),586,76,382.8591844260956,5.654215205465173,57.75856864388356,223.4895662646562,268.40141481824764,-1.624265898306576,17.497524138503632
